user5,Stony,Uriel,kid,password,user
user2,Aurelie,Kalonga,sales associate,7UUE6Nqv,user
Francis,Francis,Mingomba,Programmer,password,admin
user6,Odette,Kiama,Assembly,KU6C6aDD,user
Michael,Tak,Kirkwood,programmer,iNE3ojRU,user
1,user3,Simoia,ddd,XXq40t8Q,vvvv
user3,Simonia,Mingomba,Kid,22gQSvjf,user
john,John,Aaron,Snr Space Systems Engineer,pR6S37hp,user
Ama,Ama,Ama,Ama,kwlfM0tL,user
Leslie,Leslie,Leslie,Leslie,dGKiEXx4,user
meUSER,MAMA,odette,worker,nzAu7RQd,user
beth,Beth,Thompson,Engineer,3z9dbmKa,user
suzzy,Suzy,Lan,Nurse,ksnUWgLN,user
banan,Banan,Labi,Cook,JbFPI6Zh,user 
new user,John,Smith,worker,eM0xsgru,user
new user1,Dolla,mongo,driver,QrNMxeLL,user
new user2,asasas,qqqqqq,ccccccc,TIeGXAnw,user
tttttt,hhhhhhh,kkkkkkk,qqqqqq,lRKRnXPO,user
new user3,Doe,Ave,street,vHf004XS,user
new user4,Boston way,coralville,street name,Jev4eBBv,user
Email user ,Uriel,Stony,Kid,TcNWLdLs,user
MichaelTAK,Michael,Tak,software eng.,LNGzLx9J,user
Mike tak,Michael,Tak,software eng.,4ww1OWky,user
